ID;Code;Digit;Special;Animal;Color;Serie;Used_Upgrade;Deliverable;Shop;Extra
117729;2H9kgG;6;common;llama;black;CS2;False;True;Presale Redemption;[];
117511;3CXJkv;6;common;llama;black;CS2;False;True;Presale Redemption;[];
119004;2fPaHR;6;common;llama;black;CS2;False;True;Presale Redemption;[];
117875;PGBri;5;only_alpha_mixed;llama;black;CS2;False;True;Presale Redemption;[];
118932;6rXYUj;6;common;llama;green;CS2;False;True;Presale Redemption;[];
119629;MnD6c;5;common;llama;black;CS2;False;True;Presale Redemption;[];
117753;3GyGg8;6;common;llama;black;CS2;False;True;Presale Redemption;[];
119093;PGCDi;5;only_alpha_mixed;llama;black;CS2;False;True;Presale Redemption;[];
119059;5qE3F8;6;common;llama;blue;CS2;False;True;Presale Redemption;[];
119748;4W8go5;6;common;llama;black;CS2;False;True;Presale Redemption;[];
119693;5tC1zk;6;common;llama;green;CS2;False;True;Presale Redemption;[];
118078;67Xu41;6;common;llama;black;CS2;False;True;Presale Redemption;[];
118962;5DeLTB;6;common;llama;green;CS2;False;True;Presale Redemption;[];
119274;4MEkxq;6;common;llama;green;CS2;False;True;Presale Redemption;[];
119888;7SdGF9;6;common;llama;red;CS2;False;True;Presale Redemption;[];
119363;3WKAgz;6;common;llama;black;CS2;False;True;Presale Redemption;[];
117510;3MRESy;6;common;llama;blue;CS2;False;True;Presale Redemption;[];
118396;7GFLq1;6;common;llama;blue;CS2;False;True;Presale Redemption;[];
119788;6RKkwd;6;common;llama;green;CS2;False;True;Presale Redemption;[];
117869;b867N;5;common;llama;black;CS2;False;True;Presale Redemption;[];
118525;4aaeH2;6;common;llama;red;CS2;False;True;Presale Redemption;[];
119866;6YjhNh;6;common;llama;black;CS2;False;True;Presale Redemption;[];
118565;53GRMv;6;common;llama;blue;CS2;False;True;Presale Redemption;[];
118225;6vyW7a;6;common;llama;black;CS2;False;True;Presale Redemption;[];
117813;Wg8FN;5;common;llama;green;CS2;False;True;Presale Redemption;[];
117779;yMuJz;5;only_alpha_mixed;llama;green;CS2;False;True;Presale Redemption;[];
117878;4FJoRP;6;common;llama;black;CS2;False;True;Presale Redemption;[];
118105;61bww6;6;common;llama;green;CS2;False;True;Presale Redemption;[];
118978;329QDo;6;common;llama;black;CS2;False;True;Presale Redemption;[];
117716;59CNEf;6;common;llama;black;CS2;False;True;Presale Redemption;[];
119170;28FqR3;6;common;llama;black;CS2;False;True;Presale Redemption;[];
118226;3MREfK;6;common;llama;green;CS2;False;True;Presale Redemption;[];
117533;6RKkGk;6;common;llama;blue;CS2;False;True;Presale Redemption;[];
117975;5F8KSW;6;common;llama;black;CS2;False;True;Presale Redemption;[];
117530;HLEdP;5;only_alpha_mixed;llama;black;CS2;False;True;Presale Redemption;[];
118352;JpE9u;5;common;llama;blue;CS2;False;True;Presale Redemption;[];
119575;4W8gk6;6;common;llama;green;CS2;False;True;Presale Redemption;[];
119554;4W8gjj;6;common;llama;black;CS2;False;True;Presale Redemption;[];
119235;5SzE4z;6;common;llama;black;CS2;False;True;Presale Redemption;[];
119290;5SzE5w;6;common;llama;green;CS2;False;True;Presale Redemption;[];
118539;6t1XeJ;6;common;llama;black;CS2;False;True;Presale Redemption;[];
118418;Wg8Ro;5;common;llama;green;CS2;False;True;Presale Redemption;[];
119548;5AgN4b;6;common;llama;green;CS2;False;True;Presale Redemption;[];
117936;4tNVV1;6;common;llama;black;CS2;False;True;Presale Redemption;[];
118315;2mKXCv;6;common;llama;blue;CS2;False;True;Presale Redemption;[];
119314;5AgMzZ;6;common;llama;green;CS2;False;True;Presale Redemption;[];
117641;2vDShN;6;common;llama;black;CS2;False;True;Presale Redemption;[];
118256;5VxCLo;6;common;llama;green;CS2;False;True;Presale Redemption;[];
118026;5VxCGq;6;common;llama;green;CS2;False;True;Presale Redemption;[];
117892;3fD5wh;6;common;llama;green;CS2;False;True;Presale Redemption;[];
119341;4tNVuE;6;common;llama;green;CS2;False;True;Presale Redemption;[];
117918;56EPjT;6;common;llama;green;CS2;False;True;Presale Redemption;[];
119376;3s4ze3;6;common;llama;blue;CS2;False;True;Presale Redemption;[];
118868;4kxZMM;6;common;llama;black;CS2;False;True;Presale Redemption;[];
117958;5dN8fP;6;common;llama;green;CS2;False;True;Presale Redemption;[];
118040;6rXYDM;6;common;llama;black;CS2;False;True;Presale Redemption;[];
118371;Ti9rJ;5;common;llama;green;CS2;False;True;Presale Redemption;[];
117718;3CXJpV;6;common;llama;black;CS2;False;True;Presale Redemption;[];
118269;MnChA;5;only_alpha_mixed;llama;blue;CS2;False;True;Presale Redemption;[];
118779;LJDZc;5;only_alpha_mixed;llama;yellow;CS2;False;True;Presale Redemption;[];
119480;3B3L4X;6;common;llama;yellow;CS2;False;True;Presale Redemption;[];
119846;2S3gzq;6;common;llama;green;CS2;False;True;Presale Redemption;[];
119932;LJDuV;5;only_alpha_mixed;llama;black;CS2;False;True;Presale Redemption;[];
119539;4urVEz;6;common;llama;blue;CS2;False;True;Presale Redemption;[];
117731;3RsCMp;6;common;llama;black;CS2;False;True;Presale Redemption;[];
119411;3dj77Y;6;common;llama;black;CS2;False;True;Presale Redemption;[];
119674;3zMjF;5;common;llama;black;CS2;False;True;Presale Redemption;[];
117509;2EBn3n;6;common;llama;black;CS2;False;True;Presale Redemption;[];
118847;5kn5LS;6;common;llama;black;CS2;False;True;Presale Redemption;[];
118632;6kbbGB;6;common;llama;yellow;CS2;False;True;Presale Redemption;[];
118467;329Q4z;6;common;llama;blue;CS2;False;True;Presale Redemption;[];
118218;BQHhs;5;only_alpha_mixed;llama;blue;CS2;False;True;Presale Redemption;[];
119609;6n5aqN;6;common;llama;black;CS2;False;True;Presale Redemption;[];
118113;2zfQgY;6;common;llama;blue;CS2;False;True;Presale Redemption;[];
119897;67XubN;6;common;llama;blue;CS2;False;True;Presale Redemption;[];
119579;53GRfQ;6;common;llama;yellow;CS2;False;True;Presale Redemption;[];
117825;61bwrG;6;common;llama;black;CS2;False;True;Presale Redemption;[];
117713;4kxZ1S;6;common;llama;red;CS2;False;True;Presale Redemption;[];
118742;5GcJx5;6;common;llama;green;CS2;False;True;Presale Redemption;[];
119268;4KkmgP;6;common;llama;black;CS2;False;True;Presale Redemption;[];
117900;6UHiwm;6;common;llama;green;CS2;False;True;Presale Redemption;[];
118509;4MEkje;6;common;llama;yellow;CS2;False;True;Presale Redemption;[];
119784;7BoPPu;6;common;llama;black;CS2;False;True;Presale Redemption;[];
118699;2fPaCA;6;common;llama;black;CS2;False;True;Presale Redemption;['pac'];
118120;4TAhkK;6;common;llama;yellow;CS2;False;True;Presale Redemption;[];
119557;53GRf2;6;common;llama;yellow;CS2;False;True;Presale Redemption;[];
118473;5ri2MN;6;common;llama;black;CS2;False;True;Presale Redemption;[];
119690;iY34V;5;common;llama;green;CS2;False;True;Presale Redemption;[];
119577;3qb1RA;6;common;llama;black;CS2;False;True;Presale Redemption;[];
117670;54kQNq;6;common;llama;blue;CS2;False;True;Presale Redemption;[];
119729;4hzb3W;6;common;llama;green;CS2;False;True;Presale Redemption;[];
118719;2Xydnn;6;common;llama;green;CS2;False;True;Presale Redemption;[];
119628;7HjLUb;6;common;llama;black;CS2;False;True;Presale Redemption;[];
119777;5kn5cU;6;common;llama;green;CS2;False;True;Presale Redemption;[];
119336;7PfHWw;6;common;llama;green;CS2;False;True;Presale Redemption;[];
119430;5qE3MX;6;common;llama;black;CS2;False;True;Presale Redemption;[];
118360;4Gnnr3;6;common;llama;green;CS2;False;True;Presale Redemption;[];
118649;3qb19A;6;common;llama;blue;CS2;False;True;Presale Redemption;[];
117791;28Fq1G;6;common;llama;black;CS2;False;True;Presale Redemption;[];
117584;JpDvf;5;only_alpha_mixed;llama;yellow;CS2;False;True;Presale Redemption;[];
118528;iY2iT;5;common;llama;black;CS2;False;True;Presale Redemption;[];
119970;5jJ6PT;6;common;llama;black;CS2;False;True;Presale Redemption;[];
119002;6NMn9P;6;common;llama;black;CS2;False;True;Presale Redemption;[];
118110;4MEkcm;6;common;llama;green;CS2;False;True;Presale Redemption;[];
119226;3nd2kR;6;common;llama;green;CS2;False;True;Presale Redemption;[];
117531;5aQ9yL;6;common;llama;black;CS2;False;True;Presale Redemption;[];
117677;3B3KXS;6;common;llama;green;CS2;False;True;Presale Redemption;[];
119792;4aaees;6;common;llama;black;CS2;False;True;Presale Redemption;[];
119019;5YvB8e;6;common;llama;green;CS2;False;True;Presale Redemption;[];
118629;5xdyXS;6;common;llama;black;CS2;False;True;Presale Redemption;[];
119528;iY31h;5;common;llama;blue;CS2;False;True;Presale Redemption;[];
119492;4ovY6o;6;common;llama;black;CS2;False;True;Presale Redemption;[];
118235;7LhJdG;6;common;llama;black;CS2;False;True;Presale Redemption;[];
119608;4NikLw;6;common;llama;black;CS2;False;True;Presale Redemption;[];
118998;5M4GsX;6;common;llama;black;CS2;False;True;Presale Redemption;[];
119222;4DppYD;6;common;llama;black;CS2;False;True;Presale Redemption;[];
118687;7NBJ3Q;6;common;llama;green;CS2;False;True;Presale Redemption;[];
119241;4MEkxG;6;common;llama;green;CS2;False;True;Presale Redemption;[];
118338;FrFay;5;only_alpha_mixed;llama;black;CS2;False;True;Presale Redemption;[];
117798;329PsT;6;common;llama;black;CS2;False;True;Presale Redemption;[];
119291;6AVsyc;6;common;llama;black;CS2;False;True;Presale Redemption;[];
118006;2Mbic5;6;common;llama;black;CS2;False;True;Presale Redemption;[];
119350;5gL7e5;6;common;llama;blue;CS2;False;True;Presale Redemption;[];
119069;33dPXi;6;common;llama;black;CS2;False;True;Presale Redemption;[];
119251;yMukN;5;only_alpha_mixed;llama;black;CS2;False;True;Presale Redemption;[];
119692;6ywV7Z;6;common;llama;black;CS2;False;True;Presale Redemption;[];
119576;6kbbYT;6;common;llama;yellow;CS2;False;True;Presale Redemption;[];
119798;4f2cW1;6;common;llama;black;CS2;False;True;Presale Redemption;[];
118222;77MR5w;6;common;llama;black;CS2;False;True;Presale Redemption;[];
